niveau	ID	Wetenschappelijke naam	Naam	Euring	Species id	Familie	Soortgroep	Soortstatus	Datum	Tijd	invoerdatum	timestamp	type waarneming	Aantal	min	max	Geslacht	telmethode	Kleed	Gedrag	X	Y	lat	Lng	Biotoop	Gebied	Gemeente	Provincie	Zeker	escape	link	precisie	loc_methode	protocol	status	Foto's	Collectienr.	Waardplant	substraat	Methode	Toelichting	Locatie	Tags	Transecten
+	180075102	Vitrina pellucida	Doorschijnende glasslak	0	18971	Vitrinidae (Glasslakken)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075102	25	110	1	O	0		-	-	onbekend				0
+	180075103	Cornu aspersum	Segrijnslak	0	7719	Helicidae (Tuinslakken e.a.)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45239	43,41361	43,4136085510254	-3,45238947868347	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075103	25	110	1	O	0		-	-	onbekend				0
+	180075104	Paralaoma servilis	Duintolletje	0	234797	Punctidae	molluscs	Native	14/09/2019	13:12	24/09/2019	51:05.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45301	43,41256	43,4125595092773	-3,45301008224487	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075104	25	110	1	O	0		-	-	onbekend				0
+	180075105	Lauria cylindracea	Genaveld tonnetje	0	19961	Lauriidae	molluscs	Native	14/09/2019	13:12	24/09/2019	51:05.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45301	43,41254	43,412540435791	-3,45301246643066	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075105	25	110	1	O	0		-	-	onbekend				0
+	180075106	Vertigo pygmaea	Dwergkorfslak	0	20092	Vertiginidae (Korfslakken)	molluscs	Native	14/09/2019	12:55	24/09/2019	48:36.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45311	43,41233	43,41232681	-3,45311093	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075106	25	110	1	O	0		-	Niet van toepassing	onbekend	""""""			0
+	180075107	Clausilia bidentata	Vale clausilia	0	825079	Clausiliidae (Clausilia's)	molluscs	Native	14/09/2019	12:54	24/09/2019	54:48.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45310	43,41233	43,4123268127441	-3,45309948921204	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075107	25	110	1	O	0		-	-	onbekend				0
+	180075108	Cochlicopa lubricella	Slanke agaathoren	0	19885	Cochlicopidae (Agaathorens)	molluscs	Native	14/09/2019	12:54	24/09/2019	51:05.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45310	43,41233	43,4123268127441	-3,45309948921204	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075108	25	110	1	O	0		-	-	onbekend				0
+	180075109	Platyla spec.		0	689324	Aciculidae (Naaldslakken)	molluscs	Native	14/09/2019	12:54	24/09/2019	51:05.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45310	43,41233	43,4123268127441	-3,45309948921204	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075109	25	110	1	O	0		-	-	onbekend				0
+	180075110	Pupilla muscorum	Mostonnetje	0	20040	Pupillidae (Tonnetjes)	molluscs	Native	14/09/2019	12:49	24/09/2019	51:05.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45324	43,41216	43,4121589660645	-3,45324158668518	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075110	25	110	1	O	0		-	-	onbekend				0
+	180075111	Vitrina pellucida	Doorschijnende glasslak	0	18971	Vitrinidae (Glasslakken)	molluscs	Native	14/09/2019	12:49	24/09/2019	51:05.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45324	43,41216	43,4121589660645	-3,45324158668518	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075111	25	110	1	O	0		-	-	onbekend				0
+	180075112	Cernuella aginnica	Franse duinslak	0	19880	Hygromiidae (Loofslakken e.a.)	molluscs	Native	14/09/2019	12:49	24/09/2019	51:05.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45325	43,41218	43,4121780395508	-3,45325469970703	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075112	25	110	1	O	0		-	-	onbekend				0
+	180075114	Cochlicella barbara	Bolle duinhoren	0	19884	Cochlicellidae (Duinhorens)	molluscs	Native	14/09/2019	12:27	24/09/2019	51:05.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45314	43,41179	43,4117851257324	-3,45314288139343	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075114	25	110	1	O	0		-	-	onbekend				0
+	180075115	Theba pisana	Zandslak	0	20066	Helicidae (Tuinslakken e.a.)	molluscs	Native	14/09/2019	12:26	24/09/2019	51:05.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45306	43,41175	43,4117546081543	-3,45306277275085	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075115	25	110	1	O	0		-	-	onbekend				0
+	180075116	Cochlicella acuta	Slanke duinhoren	0	19883	Cochlicellidae (Duinhorens)	molluscs	Native	14/09/2019	12:26	24/09/2019	51:05.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45306	43,41175	43,4117546081543	-3,45306372642517	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075116	25	110	1	O	0		-	-	onbekend				0
+	180075117	Xerotricha apicina	Behaarde grasslak	0	210252	Hygromiidae (Loofslakken e.a.)	molluscs	Native	14/09/2019	12:26	24/09/2019	51:05.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45304	43,41177	43,4117736816406	-3,45303893089294	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075117	25	110	1	O	0		-	-	onbekend				0
+	180075082	Helicella itala	Heideslak	0	19943	Hygromiidae (Loofslakken e.a.)	molluscs	Native	15/09/2019	15:21	24/09/2019	51:04.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,39873	43,41645	43,416446685791	-3,39872908592224	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075082	25	110	1	O	0		-	-	onbekend				0
+	180075083	Cepaea nemoralis	Zwartgerande tuinslak	0	7720	Helicidae (Tuinslakken e.a.)	molluscs	Native	15/09/2019	15:15	24/09/2019	51:04.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,39874	43,41646	43,4164619445801	-3,39874219894409	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075083	25	110	1	O	0		-	-	onbekend				0
+	180075084	Cornu aspersum	Segrijnslak	0	7719	Helicidae (Tuinslakken e.a.)	molluscs	Native	15/09/2019	15:15	24/09/2019	51:04.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,39874	43,41646	43,4164581298828	-3,39874148368835	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075084	25	110	1	O	0		-	-	onbekend				0
+	180075085	Pomatias elegans	Geruite rondmondhoren	0	20036	Pomatiidae	molluscs	Native	15/09/2019	15:14	24/09/2019	51:04.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,39873	43,41645	43,4164505004883	-3,39872622489929	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075085	25	110	1	O	0		-	-	onbekend				0
+	180075058	Arion distinctus	Donkere wegslak	0	824952	Arionidae (Wegslakken)	molluscs	Native	16/09/2019	13:30	24/09/2019	51:03.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43688	43,34433	43,3443298339844	-3,43687653541565	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/180075058	25	110	1	O	2		-	-	onbekend				0
+	180075059	Macrogastra rolphii	Gekielde clausilia	0	19978	Clausiliidae (Clausilia's)	molluscs	Native	16/09/2019	12:36	24/09/2019	51:03.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	levend dier	-3,43695	43,34399	43,3439865112305	-3,43695163726807	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075059	25	110	1	O	0		-	-	onbekend	"""subspecies digonostoma"""			0
+	180075060	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	16/09/2019	12:30	24/09/2019	55:18.6	ObsMapp	2	0	0	onbekend	exact aantal	adult	levend dier	-3,43700	43,34404	43,34404373	-3,43700051	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075060	25	110	1	O	0		-	Niet van toepassing	gezien	"""Oestophora silvae"""			0
+	180075061	Ancylus fluviatilis	Ronde beekmuts	0	19852	Ancylidae	molluscs	Native	16/09/2019	12:29	24/09/2019	51:03.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43698	43,34404	43,3440361022949	-3,43697834014893	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075061	25	110	1	O	0		-	-	onbekend				0
+	180075062	Euglesa/Odhneripisidium/Pisidium spec.	Erwtenmossel onbekend	0	26801	Sphaeriidae (Erwtenmosseltjes en Hoornschalen)	molluscs	Native	16/09/2019	12:28	24/09/2019	51:03.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43699	43,34420	43,3441963195801	-3,43699193000793	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075062	25	110	1	O	0		-	-	onbekend				0
+	180075063	Oxychilus spec.	Glansslak onbekend	0	20945	Oxychilidae (Glansslakken e.a.)	molluscs	Native	16/09/2019	12:16	24/09/2019	51:03.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43694	43,34435	43,344352722168	-3,43694114685059	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075063	25	110	1	O	0		-	-	onbekend				0
+	180075064	Aegopinella spec.	Blinkslak-soort	0	234931	Oxychilidae (Glansslakken e.a.)	molluscs	Native	16/09/2019	12:16	24/09/2019	51:03.7	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43694	43,34435	43,344352722168	-3,43694114685059	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075064	25	110	1	O	0		-	-	onbekend				0
+	180075065	Elona quimperiana		0	789144	Xanthonycidae	molluscs	Native	16/09/2019	12:16	24/09/2019	54:42.3	ObsMapp	2	0	0	onbekend	exact aantal	adult	levend dier	-3,43695	43,34435	43,34435272	-3,43694592	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075065	25	110	1	O	1		-	Niet van toepassing	gezien	""""""			0
+	180075067	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	16/09/2019	12:03	24/09/2019	51:03.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43661	43,34272	43,3427200317383	-3,43660759925842	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075067	25	110	1	O	0		-	-	onbekend	"""Oestophora silvae"""			0
+	180075068	Trochulus hispidus	Gewone haarslak	0	8622	Hygromiidae (Loofslakken e.a.)	molluscs	Native	16/09/2019	12:03	24/09/2019	51:03.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43660	43,34268	43,3426818847656	-3,43659734725952	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075068	25	110	1	O	0		-	-	onbekend				0
+	180075069	Discus rotundatus	Boerenknoopje	0	7735	Discidae (Discusslakken)	molluscs	Native	16/09/2019	11:48	24/09/2019	51:03.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43613	43,34370	43,3437042236328	-3,43613123893738	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075069	25	110	1	O	0		-	-	onbekend				0
+	180075070	Clausilia bidentata	Vale clausilia	0	825079	Clausiliidae (Clausilia's)	molluscs	Native	16/09/2019	11:41	24/09/2019	54:48.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43636	43,34398	43,3439788818359	-3,43635630607605	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075070	25	110	1	O	0		-	-	onbekend				0
+	180075071	Hygromia limbata		0	545769	Hygromiidae (Loofslakken e.a.)	molluscs	Native	16/09/2019	11:40	24/09/2019	51:04.0	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43632	43,34397	43,3439712524414	-3,43631625175476	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075071	25	110	1	O	0		-	-	onbekend				0
+	180075072	Arion (Arion) ater	Duistere wegslak	0	824948	Arionidae (Wegslakken)	molluscs	Native	16/09/2019	11:35	24/09/2019	51:04.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43549	43,34545	43,3454475402832	-3,43548655509949	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075072	25	110	1	O	0		-	-	onbekend				0
+	180075073	Cepaea nemoralis	Zwartgerande tuinslak	0	7720	Helicidae (Tuinslakken e.a.)	molluscs	Native	16/09/2019	11:35	24/09/2019	51:04.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43545	43,34553	43,3455276489258	-3,4354465007782	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075073	25	110	1	O	0		-	-	onbekend				0
+	180075074	Elona quimperiana		0	789144	Xanthonycidae	molluscs	Native	16/09/2019	11:34	24/09/2019	51:04.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43537	43,34579	43,3457946777344	-3,43536782264709	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075074	25	110	1	O	0		-	-	onbekend				0
+	180075075	Aegopinella nitidula	Bruine blinkslak	0	9054	Oxychilidae (Glansslakken e.a.)	molluscs	Native	16/09/2019	11:31	24/09/2019	51:04.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43523	43,34599	43,3459930419922	-3,43522500991821	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075075	25	110	1	O	0		-	-	onbekend				0
+	180075076	Aegopinella spec.	Blinkslak-soort	0	234931	Oxychilidae (Glansslakken e.a.)	molluscs	Native	16/09/2019	11:20	24/09/2019	51:04.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43598	43,34776	43,3477630615234	-3,43597602844238	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075076	25	110	1	O	0		-	-	onbekend				0
+	180075079	Discus rotundatus	Boerenknoopje	0	7735	Discidae (Discusslakken)	molluscs	Native	16/09/2019	11:12	24/09/2019	51:04.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43598	43,34781	43,3478088378906	-3,43597841262817	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075079	25	110	1	O	0		-	-	onbekend				0
+	180075080	Ancylus fluviatilis	Ronde beekmuts	0	19852	Ancylidae	molluscs	Native	16/09/2019	11:00	24/09/2019	51:04.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43602	43,34788	43,3478813171387	-3,43602275848389	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075080	25	110	1	O	0		-	-	onbekend				0
+	180075081	Theodoxus fluviatilis	Zoetwaterneriet	0	20068	Neritidae (Nerieten)	molluscs	Native	16/09/2019	10:59	24/09/2019	51:04.3	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43598	43,34787	43,3478698730469	-3,43598055839539	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075081	25	110	1	O	0		-	-	onbekend				0
+	184350322	Hygromiidae spec.		0	709057	Hygromiidae (Loofslakken e.a.)	molluscs	Native	16/09/2019	14:10	13/01/2020	57:57.4	Geotagged by foto	1	0	0	onbekend	exact aantal	onvolwassen	levend dier	-3,43706	43,34389	43,34389444	-3,43705833	 onbekend	Spain - Ampuero	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184350322	100	110	1	O	3		-	Niet van toepassing	gezien	""""""		GPS Tagged|	0
